Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
TEST_DESCRIPTION_1,"<br/><p align=left><image set=expansion_iconset name=icon_info scale=1.92 /><b>TAGLIA DEI CASCHI GIALLI<br/>RICERCATO:</b> Ignoto<br/><b>ACCUSA:</b> Furto aggravato<br/><b>STATO RICHIESTO:</b> Morto<br/><br/><br/><b>RICHIESTA DA:</b> Tanaka<br/><br/><b>PROVA RICHIESTA:</b> Refurtiva sottratta<br/><b>CONSEGNA A:</b> Padre Herbert<br/><b>RICOMPENSA:</b> Garantita alla consegna<br/><br/><b>ULTIMO AVVISTAMENTO NOTO:</b> Kolembrody<br/>Intervento autorizzato.<br/>La questione verrà considerata chiusa alla consegna.<br/></p>","<br/><p align=left><image set=expansion_iconset name=icon_info scale=1.92 /><b>YELLOW HELMETS BOUNTY<br/>WANTED:</b> Unknown<br/><b>CHARGE:</b> Aggravated theft<br/><b>STATUS:</b> Dead<br/><br/><br/><b>REQUESTED BY:</b> Tanaka<br/><br/><b>EVIDENCE REQUIRED:</b> Stolen goods<br/><b>DELIVER TO:</b> Father Herbert<br/><b>REWARD:</b> Guaranteed upon delivery<br/><br/><b>LAST KNOWN LOCATION:</b> Kolembrody<br/>Intervention authorized.<br/>The matter will be considered closed upon delivery.<br/></p>","<br/><p align=left><image set=expansion_iconset name=icon_info scale=1.92 /><b>ODMĚNA ZA ŽLUTÉ PŘILBY<br/>HLEDANÝ:</b> Neznámý<br/><b>OBVINĚNÍ:</b> Těžká krádež<br/><b>STAV:</b> Mrtvý<br/><br/><br/><b>POŽADOVÁNO OD:</b> Tanaka<br/><br/><b>POŽADOVANÝ DŮKAZ:</b> Ukradené zboží<br/><b>DORUČIT:</b> Otec Herbert<br/><b>ODMĚNA:</b> Zaručena při doručení<br/><br/><b>POSLEDNÍ ZNÁMÁ POLOHA:</b> Kolembrody<br/>Zásah povolen.<br/>Záležitost bude považována za uzavřenou po doručení.<br/></p>","<br/><p align=left><image set=expansion_iconset name=icon_info scale=1.92 /><b>KOPFGELD GELBE HELME<br/>GESUCHT:</b> Unbekannt<br/><b>ANKLAGE:</b> Schwerer Diebstahl<br/><b>STATUS:</b> Tot<br/><br/><br/><b>ANGEFORDERT VON:</b> Tanaka<br/><br/><b>BEWEIS ERFORDERLICH:</b> Gestohlene Ware<br/><b>ÜBERGABE AN:</b> Vater Herbert<br/><b>BELOHNUNG:</b> Bei Übergabe garantiert<br/><br/><b>LETZTER BEKANNTER AUFENTHALT:</b> Kolembrody<br/>Einsatz genehmigt.<br/>Die Angelegenheit gilt bei Übergabe als erledigt.<br/></p>","<br/><p align=left><image set=expansion_iconset name=icon_info scale=1.92 /><b>НАГРАДА ЗА ЖЕЛТЫЕ ШЛЕМЫ<br/>РОЗЫСК:</b> Неизвестен<br/><b>ОБВИНЕНИЕ:</b> Тяжкая кража<br/><b>СТАТУС:</b> Мертв<br/><br/><br/><b>ЗАПРОШЕНО:</b> Танака<br/><br/><b>ТРЕБУЕМОЕ ДОКАЗАТЕЛЬСТВО:</b> Украденное имущество<br/><b>ДОСТАВИТЬ:</b> Отец Герберт<br/><b>НАГРАДА:</b> Гарантируется при доставке<br/><br/><b>ПОСЛЕДНЕЕ ИЗВЕСТНОЕ МЕСТОПОЛОЖЕНИЕ:</b> Колембрады<br/>Интервенция разрешена.<br/>Вопрос будет считаться закрытым после доставки.<br/></p>","<br/><p align=left><image set=expansion_iconset name=icon_info scale=1.92 /><b>WYKUP ZA ŻÓŁTE HEŁMY<br/>POSZUKIWANY:</b> Nieznany<br/><b>ZARZUT:</b> Kradzież kwalifikowana<br/><b>STATUS:</b> Nie żyje<br/><br/><br/><b>ZLECONE PRZEZ:</b> Tanaka<br/><br/><b>WYMAGANE DOWODY:</b> Skradzione mienie<br/><b>DOSTARCZYĆ DO:</b> Ojciec Herbert<br/><b>REWALIDACJA:</b> Gwarantowana po dostarczeniu<br/><br/><b>OSTATNIA ZNANA LOKALIZACJA:</b> Kolembrody<br/>Interwencja dozwolona.<br/>Sprawa zostanie uznana za zamkniętą po dostarczeniu.<br/></p>","<br/><p align=left><image set=expansion_iconset name=icon_info scale=1.92 /><b>SÁRGA SISAKOK FEJADÓ<br/>KERESIK:</b> Ismeretlen<br/><b>VÁD:</b> Súlyos lopás<br/><b>ÁLLAPOT:</b> Halott<br/><br/><br/><b>KÉRTE:</b> Tanaka<br/><br/><b>KÉRDETT BIZONYÍTÉK:</b> Lopott áruk<br/><b>ÁTADANDÓ:</b> Herbert atya<br/><b>JUTALOM:</b> Átadáskor garantált<br/><br/><b>UTOLSÓ ISMERT HELYSZÍN:</b> Kolembrody<br/>Beavatkozás engedélyezve.<br/>Az ügy átadáskor lezártnak tekintendő.<br/></p>","<br/><p align=left><image set=expansion_iconset name=icon_info scale=1.92 /><b>TAGLIA DEI CASCHI GIALLI<br/>RICERCATO:</b> Ignoto<br/><b>ACCUSA:</b> Furto aggravato<br/><b>STATO RICHIESTO:</b> Morto<br/><br/><br/><b>RICHIESTA DA:</b> Tanaka<br/><br/><b>PROVA RICHIESTA:</b> Refurtiva sottratta<br/><b>CONSEGNA A:</b> Padre Herbert<br/><b>RICOMPENSA:</b> Garantita alla consegna<br/><br/><b>ULTIMO AVVISTAMENTO NOTO:</b> Kolembrody<br/>Intervento autorizzato.<br/>La questione verrà considerata chiusa alla consegna.<br/></p>","<br/><p align=left><image set=expansion_iconset name=icon_info scale=1.92 /><b>RECOMPENSA POR LOS CASCOS AMARILLOS<br/>BUSCADO:</b> Desconocido<br/><b>ACUSACIÓN:</b> Robo agravado<br/><b>ESTADO:</b> Muerto<br/><br/><br/><b>SOLICITADO POR:</b> Tanaka<br/><br/><b>PRUEBA REQUERIDA:</b> Botín robado<br/><b>ENTREGAR A:</b> Padre Herbert<br/><b>RECOMPENSA:</b> Garantizada al entregar<br/><br/><b>ÚLTIMA UBICACIÓN CONOCIDA:</b> Kolembrody<br/>Intervención autorizada.<br/>El caso se considerará cerrado al entregar.<br/></p>","<br/><p align=left><image set=expansion_iconset name=icon_info scale=1.92 /><b>PRIME POUR LES CASQUES JAUNES<br/>RECHERCHÉ:</b> Inconnu<br/><b>ACCUSE:</b> Vol aggravé<br/><b>STATUT:</b> Mort<br/><br/><br/><b>DEMANDÉ PAR:</b> Tanaka<br/><br/><b>PREUVE REQUISE:</b> Butin volé<br/><b>À REMETTRE À:</b> Père Herbert<br/><b>RÉCOMPENSE:</b> Garantie à la livraison<br/><br/><b>DERNIER ENDROIT CONNU:</b> Kolembrody<br/>Intervention autorisée.<br/>L’affaire sera considérée comme close à la livraison.<br/></p>","<br/><p align=left><image set=expansion_iconset name=icon_info scale=1.92 /><b>黃盔賞金<br/>通緝:</b> 不明<br/><b>指控:</b> 加重盜竊<br/><b>狀態:</b> 死亡<br/><br/><br/><b>請求者:</b> 田中<br/><br/><b>所需證據:</b> 被盜贓物<br/><b>交付給:</b> 赫伯特神父<br/><b>獎勵:</b> 交付時保證<br/><br/><b>最後已知位置:</b> Kolembrody<br/>介入已授權。<br/>交付後此案將視為結案。<br/></p>","<br/><p align=left><image set=expansion_iconset name=icon_info scale=1.92 /><b>イエローヘルメットの賞金<br/>指名手配:</b> 不明<br/><b>容疑:</b> 重盗<br/><b>状態:</b> 死亡<br/><br/><br/><b>依頼者:</b> タナカ<br/><br/><b>証拠物件:</b> 盗品<br/><b>引き渡し先:</b> ハーバート神父<br/><b>報酬:</b> 引き渡し時に保証<br/><br/><b>最後の目撃場所:</b> コレンブロディ<br/>介入許可済み。<br/>引き渡し時に事件は終了とみなされる。<br/></p>","<br/><p align=left><image set=expansion_iconset name=icon_info scale=1.92 /><b>RECOMPENSA PELOS CAPACETES AMARELOS<br/>PROCURADO:</b> Desconhecido<br/><b>CARGOS:</b> Roubo agravado<br/><b>ESTADO:</b> Morto<br/><br/><br/><b>REQUERIDO POR:</b> Tanaka<br/><br/><b>PROVA REQUERIDA:</b> Mercadoria roubada<br/><b>ENTREGAR PARA:</b> Padre Herbert<br/><b>RECOMPENSA:</b> Garantida na entrega<br/><br/><b>ÚLTIMA LOCALIZAÇÃO CONHECIDA:</b> Kolembrody<br/>Intervenção autorizada.<br/>O caso será considerado encerrado na entrega.<br/></p>","<br/><p align=left><image set=expansion_iconset name=icon_info scale=1.92 /><b>黄盔赏金<br/>通缉:</b> 不明<br/><b>指控:</b> 加重盗窃<br/><b>状态:</b> 死亡<br/><br/><br/><b>请求者:</b> 田中<br/><br/><b>所需证据:</b> 被盗赃物<br/><b>交付给:</b> 赫伯特神父<br/><b>奖励:</b> 交付时保证<br/><br/><b>最后已知位置:</b> Kolembrody<br/>介入已授权。<br/>交付后此案将视为结案。<br/></p>"
TEST_DESCRIPTION_2,"Salto Della Quaglia","Quail Jumping","Skákání křepelek","Wachtelspringen","Перепелка прыгает","Skoki przepiórek","Fürj ugrás","Salto Della Quaglia","Salto de codorniz","Saut de caille","鵪鶉跳","ウズラジャンプ","Codorna pulando","鹌鹑跳"
TEST_DESCRIPTION_3,"Pesce Palla","Puffer fish","Pufrová ryba","Kugelfisch","Рыба фугу","Ryba rozdymkowata","Pömbhal","Pesce Palla","pez globo","Poisson-globe","河豚魚","ふぐ","Peixe-balão","河豚鱼"
TEST_OBJECTIVE_QUEST,"Elimina il ladro e recupera la refurtiva","Eliminate the thief and recover the stolen goods","Zlikvidujte zloděje a získejte ukradené zboží","Eliminieren Sie den Dieb und holen Sie die gestohlenen Waren zurück","Устранить вора и вернуть украденное","Wyeliminuj złodzieja i odzyskaj skradziony towar","Távolítsd el a tolvajt, és szerezd vissza az ellopott árut","Elimina il ladro e recupera la refurtiva","Elimina al ladrón y recupera los bienes robados.","Éliminez le voleur et récupérez les biens volés","消滅小偷，追回贓物","泥棒を排除して盗品を取り戻しましょう","Elimine o ladrão e recupere os bens roubados","消灭小偷，追回赃物"
QUEST_XXXXX_TEXT,"","","","","","","","","","","","","",""
QUEST_XXXXX_DESCRIPTION_1,"","","","","","","","","","","","","",""
QUEST_XXXXX_DESCRIPTION_2,"","","","","","","","","","","","","",""
QUEST_XXXXX_DESCRIPTION_3,"","","","","","","","","","","","","",""
QUEST_XXXXX_OBJECTIVE_QUEST,"","","","","","","","","","","","","",""
QUEST_1201_LEGNA,"Legna per il Fuoco","Wood for the fire","Dřevo na oheň","Holz für das Feuer","Дрова для костра","Drewno na opał","Fa a tűzhöz","Legna per il Fuoco","Leña para el fuego","Du bois pour le feu","木頭可以用來生火","火のための薪","Lenha para o fogo","木头可以用来生火"
QUEST_1201_DESCRIPTION_1,"Prendi quest'ascia e portami della legna! Se non mi riporti l'ascia, mi prendo un tuo arto.","Take this ax and bring me some wood. If you don't bring me the axe, I'll take your limb.","Vezmi tuhle sekeru a přines mi dřevo. Pokud mi nepřineseš sekeru, vezmu ti tvůj úd.","Nimm diese Axt und bring mir etwas Holz. Wenn du mir die Axt nicht bringst, nehme ich dein Glied.","Возьми этот топор и принеси мне немного дров. Если ты не принесешь мне топор, я отниму твою конечность.","Weź tę siekierę i przynieś mi trochę drewna. Jeśli nie przyniesiesz mi siekiery, utnę ci kończynę.","Fogd ezt a fejszét, és hozz egy kis fát. Ha nem hozod nekem a fejszét, én fogom a végtagodat.","Prendi quest'ascia e portami della legna. Se non mi riporti l'ascia, mi prendo un tuo arto.","Toma este hacha y tráeme un poco de madera. Si no me traes el hacha, te quitaré el miembro.","Prends cette hache et apporte-moi du bois. Si tu ne m'apportes pas la hache, je te prendrai un membre.","拿著這把斧子，給我弄些木頭來。如果你不把斧子給我，我就砍掉你的四肢。","この斧を持ってきて、木も持ってきてください。斧を持ってこなければ手足を取ってしまいます。","Pegue esse machado e me traga um pouco de madeira. Se você não me trouxer o machado, eu corto seu membro.","拿着这把斧子，给我弄些木头来。如果你不把斧子给我，我就砍掉你的四肢。"
QUEST_1201_DESCRIPTION_2,"Devo procurarmi della legna, e assicurarmi di non perdere l'ascia della guardia...","I need to get some wood, and make sure I don't lose the guard's axe","Potřebuji sehnat nějaké dřevo a ujistit se, že neztratím strážcovu sekeru","Ich muss etwas Holz besorgen und sicherstellen, dass ich die Axt des Wächters nicht verliere","Мне нужно раздобыть дров и убедиться, что я не потеряю топор охранника.","Muszę zdobyć trochę drewna i uważać, żeby nie zgubić topora strażnika","Szereznem kell egy kis fát, és gondoskodnom kell arról, hogy ne veszítsem el az őr fejszéjét","Devo procurarmi della legna, e assicurarmi di non perdere l'ascia della guardia...","Necesito conseguir algo de madera y asegurarme de no perder el hacha del guardia.","J'ai besoin d'aller chercher du bois et de m'assurer de ne pas perdre la hache du garde.","我需要一些木頭，並確保我不會丟失守衛的斧頭","木材を手に入れて、衛兵の斧を失わないようにしなければならない","Preciso pegar um pouco de madeira e ter certeza de não perder o machado do guarda","我需要一些木头，并确保我不会丢失守卫的斧头"
QUEST_1201_DESCRIPTION_3,"Portami la legna E l'ascia, non La legna OPPURE  l'ascia...","Bring me the wood AND the axe, not the wood OR the axe","Přines mi dřevo A sekeru, ne dřevo NEBO sekeru","Bring mir das Holz UND die Axt, nicht das Holz ODER die Axt","Принеси мне дрова И топор, а не дрова ИЛИ топор.","Przynieś mi drewno ORAZ topór, a nie drewno LUB topór","Hozzátok nekem a fát ÉS a fejszét, ne a fát VAGY a fejszét","Portami la legna E l'ascia; non La legna O l'ascia...","Tráeme la madera Y el hacha, no la madera O el hacha","Apportez-moi le bois ET la hache, pas le bois OU la hache","給我帶來木頭和斧頭，而不是木頭或斧頭","木か斧ではなく、木と斧を持ってきてください","Traga-me a madeira E o machado, não a madeira OU o machado","给我带来木头和斧头，而不是木头或斧头"
QUEST_1201_OBJECTIVE_QUEST,"Raccogli legna per il fuoco","Collect wood for the fire","Sbírejte dřevo na oheň","Sammeln Sie Holz für das Feuer","Собрать дрова для костра","Zbieraj drewno na opał","Gyűjts fát a tűzhöz","Raccogli legna per il fuoco","Recoge leña para el fuego.","Ramasser du bois pour le feu","收集木材來生火","火のための木を集める","Colete lenha para o fogo","收集木材来生火"
QUEST_1202_KILLZ,"Z come Zombie","Z is for Zombie","Z je pro zombie","Z steht für Zombie","Z значит зомби","Z jest dla zombie","Z a Zombié","Z come Zombie","Z es para zombi","Z est pour Zombie","Z代表殭屍","Zはゾンビのこと","Z é para Zumbi","Z代表僵尸"
QUEST_1202_DESCRIPTION_1,"Voglio proprio vedere di che pasta sei fatto, vai al villaggio e ammazza qualche zombie.","I really want to see what you're made of, go to the village and kill some zombies","Opravdu chci vidět, z čeho jsi, jít do vesnice a zabít nějaké zombie","Ich möchte wirklich sehen, was in dir steckt, ins Dorf gehen und ein paar Zombies töten","Я очень хочу посмотреть, из чего ты сделан, пойти в деревню и убить несколько зомби.","Naprawdę chcę zobaczyć, na co cię stać, udać się do wioski i zabić kilka zombie","Nagyon szeretném látni, miből vagy, menj el a faluba és ölj meg néhány zombit","Voglio proprio vedere di che pasta sei fatto, vai al villaggio e ammazza qualche zombie.","Tengo muchas ganas de ver de qué estás hecho, ve al pueblo y mata algunos zombies.","Je veux vraiment voir de quoi tu es fait, aller au village et tuer des zombies","我真想看看你到底是個什麼東西，去村子裡殺掉一些殭屍","あなたが何でできているのか本当に知りたい、村に行ってゾンビを倒しなさい","Eu realmente quero ver do que você é feito, vá até a vila e mate alguns zumbis","我真想看看你到底是个什么东西，去村子里杀掉一些僵尸"
QUEST_1202_DESCRIPTION_2,"Vai al villaggio e ammazza qualche infetto","Go to the village and kill some infected","Jděte do vesnice a zabijte nějaké nakažené","Geh ins Dorf und töte einige Infizierte","Отправляйтесь в деревню и убейте нескольких зараженных.","Idź do wioski i zabij kilku zarażonych","Menj a faluba és ölj meg néhány fertőzöttet","Vai al villaggio e ammazza qualche infetto","Ve al pueblo y mata a algunos infectados.","Allez au village et tuez quelques infectés","去村里殺死一些感染者","村に行って感染者を殺してください","Vá para a aldeia e mate alguns infectados","去村里杀死一些感染者"
QUEST_1202_DESCRIPTION_3,"Quindi, te la stai facendo addosso?","So, you're pissing yourself off?","Takže se naštveš?","Du machst dich also selbst auf die Palme?","Итак, ты бесишь себя?","Więc wkurzasz się?","Szóval feldühíted magad?","Quindi? Te la stai facendo addosso?","Entonces te estás cabreando?","Alors tu t'énerves?","所以你是在生自己的氣?","それで、あなたは自分自身を怒らせています?","Então você está se irritando?","所以你是在生自己的气?"
QUEST_1202_OBJECTIVE_QUEST,"Vai al villaggio e ammazza qualche zombie","Go to the village and kill some zombies","Jděte do vesnice a zabijte nějaké zombie","Gehe ins Dorf und töte ein paar Zombies","Идите в деревню и убейте несколько зомби.","Idź do wioski i zabij kilka zombie","Menj a faluba és ölj meg néhány zombit","Vai al villaggio e ammazza qualche zombie","Ve al pueblo y mata algunos zombies.","Allez au village et tuez des zombies","去村莊殺死一些殭屍","村に行ってゾンビを倒しましょう","Vá para a vila e mate alguns zumbis","去村庄杀死一些僵尸"
QUEST_40000_TAGLIA,"Ricercato 00","Wanted 00","Chtěl 00","Gesucht 00","Разыскивается 00","Chciałem 00","00-at kerestem","Ricercato 00","Se busca 00","Recherché 00","通緝00","指名手配00","Procurado 00","通缉00"
QUEST_40000_DESCRIPTION_1,"","","","","","","","","","","","","",""
QUEST_40000_DESCRIPTION_2,"","","","","","","","","","","","","",""
QUEST_40000_DESCRIPTION_3,"","","","","","","","","","","","","",""
QUEST_40000_OBJECTIVE_QUEST,"Elimina il ricercato e recupera la refurtiva","Eliminate the wanted man and recover the stolen goods","Zlikvidujte hledaného muže a získejte ukradené věci","Eliminieren Sie den Gesuchten und beschaffen Sie die gestohlenen Waren","Устранить разыскиваемого и вернуть украденное","Zlikwiduj poszukiwanego mężczyznę i odzyskaj skradziony towar","Távolítsd el a keresett férfit, és szerezd vissza az ellopott árut","Elimina il ricercato e recupera la refurtiva","Elimina al hombre buscado y recupera los bienes robados.","Éliminez l'homme recherché et récupérez les biens volés","消滅通緝犯，追回贓物","指名手配犯を排除し、盗まれた品物を取り戻せ","Elimine o homem procurado e recupere os bens roubados","消灭通缉犯，追回赃物"
QUEST_40001_TAGLIA,"Ricercato 01","Wanted 01","Hledá se 01","Gesucht 01","Разыскивается 01","Poszukiwany 01","Kerestem 01","Ricercato 01","Se busca 01","Recherché 01","通緝01","募集01","Procurado 01","通缉01"
QUEST_40001_DESCRIPTION_1,"","","","","","","","","","","","","",""
QUEST_40001_DESCRIPTION_2,"","","","","","","","","","","","","",""
QUEST_40001_DESCRIPTION_3,"","","","","","","","","","","","","",""
QUEST_40001_OBJECTIVE_QUEST,"Elimina il ricercato e recupera la refurtiva","Eliminate the wanted man and recover the stolen goods","Zlikvidujte hledaného muže a získejte ukradené věci","Eliminieren Sie den Gesuchten und beschaffen Sie die gestohlenen Waren","Устранить разыскиваемого и вернуть украденное","Zlikwiduj poszukiwanego mężczyznę i odzyskaj skradziony towar","Távolítsd el a keresett férfit, és szerezd vissza az ellopott árut","Elimina il ricercato e recupera la refurtiva","Elimina al hombre buscado y recupera los bienes robados.","Éliminez l'homme recherché et récupérez les biens volés","消滅通緝犯，追回贓物","指名手配犯を排除し、盗まれた品物を取り戻せ","Elimine o homem procurado e recupere os bens roubados","消灭通缉犯，追回赃物"
QUEST_40002_TAGLIA,"Ricercato 02","Wanted 02","Hledá se 02","Gesucht 02","Разыскивается 02","Poszukiwany 02","Kerestem 02","Ricercato 02","Se busca 02","Recherché 02","通緝02","募集02","Procurado 02","通缉02"
QUEST_40002_DESCRIPTION_1,"","","","","","","","","","","","","",""
QUEST_40002_DESCRIPTION_2,"","","","","","","","","","","","","",""
QUEST_40002_DESCRIPTION_3,"","","","","","","","","","","","","",""
QUEST_40002_OBJECTIVE_QUEST,"Elimina il ricercato e recupera la refurtiva","Eliminate the wanted man and recover the stolen goods","Zlikvidujte hledaného muže a získejte ukradené věci","Eliminieren Sie den Gesuchten und beschaffen Sie die gestohlenen Waren","Устранить разыскиваемого и вернуть украденное","Zlikwiduj poszukiwanego mężczyznę i odzyskaj skradziony towar","Távolítsd el a keresett férfit, és szerezd vissza az ellopott árut","Elimina il ricercato e recupera la refurtiva","Elimina al hombre buscado y recupera los bienes robados.","Éliminez l'homme recherché et récupérez les biens volés","消滅通緝犯，追回贓物","指名手配犯を排除し、盗まれた品物を取り戻せ","Elimine o homem procurado e recupere os bens roubados","消灭通缉犯，追回赃物"
